Data;Wojewodztwo;Liczba wykonanych testów
11.04.2020;Śląskie;572
11.04.2020;Świętokrzyskie;166
11.04.2020;Warmińsko-Mazurskie;309
11.04.2020;Wielkopolskie;1440
11.04.2020;Zachodniopomorskie;144
12.04.2020;Dolnośląskie;521
12.04.2020;Kujawsko-Pomorskie;76
12.04.2020;Lubelskie;308
12.04.2020;Lubuskie;17
12.04.2020;Łódzkie;258
12.04.2020;Małopolskie;457
12.04.2020;Mazowieckie;2338
12.04.2020;Opolskie;86
12.04.2020;Podkarpackie;187
12.04.2020;Podlaskie;281
12.04.2020;Pomorskie;470
12.04.2020;Śląskie;797
12.04.2020;Świętokrzyskie;25
12.04.2020;Warmińsko-Mazurskie;84
12.04.2020;Wielkopolskie;1361
12.04.2020;Zachodniopomorskie;121
13.04.2020;Dolnośląskie;415
13.04.2020;Kujawsko-Pomorskie;83
13.04.2020;Lubelskie;66
13.04.2020;Lubuskie;46
13.04.2020;Łódzkie;370
13.04.2020;Małopolskie;243
13.04.2020;Mazowieckie;875
13.04.2020;Opolskie;148
13.04.2020;Podkarpackie;186
13.04.2020;Podlaskie;290
13.04.2020;Pomorskie;268
13.04.2020;Śląskie;527
13.04.2020;Świętokrzyskie;144
13.04.2020;Warmińsko-Mazurskie;92
13.04.2020;Wielkopolskie;316
13.04.2020;Zachodniopomorskie;181
14.04.2020;Dolnośląskie;709
14.04.2020;Kujawsko-Pomorskie;68
14.04.2020;Lubelskie;250
14.04.2020;Lubuskie;44
14.04.2020;Łódzkie;379
14.04.2020;Małopolskie;241
14.04.2020;Mazowieckie;2023
14.04.2020;Opolskie;134
14.04.2020;Podkarpackie;127
14.04.2020;Podlaskie;579
14.04.2020;Pomorskie;278
14.04.2020;Śląskie;535
14.04.2020;Świętokrzyskie;187
14.04.2020;Warmińsko-Mazurskie;99
14.04.2020;Wielkopolskie;914
14.04.2020;Zachodniopomorskie;251
15.04.2020;Dolnośląskie;503
15.04.2020;Kujawsko-Pomorskie;154
15.04.2020;Lubelskie;470
15.04.2020;Lubuskie;96
15.04.2020;Łódzkie;874
15.04.2020;Małopolskie;474
15.04.2020;Mazowieckie;3929
15.04.2020;Opolskie;84
15.04.2020;Podkarpackie;222
15.04.2020;Podlaskie;701
15.04.2020;Pomorskie;758
15.04.2020;Śląskie;753
15.04.2020;Świętokrzyskie;280
15.04.2020;Warmińsko-Mazurskie;453
15.04.2020;Wielkopolskie;826
15.04.2020;Zachodniopomorskie;271
16.04.2020;Dolnośląskie;451
16.04.2020;Kujawsko-Pomorskie;104
16.04.2020;Lubelskie;443
16.04.2020;Lubuskie;169
16.04.2020;Łódzkie;867
16.04.2020;Małopolskie;769
16.04.2020;Mazowieckie;3674
